slug,name,locality,builder,city,year_built_from,year_built_to,total_units,featured_bhk,description
tata-promont,Tata The Promont,Banashankari,Tata Housing,Bengaluru,2016,2017,312,3BHK,"Premium hilltop 3 and 4 BHK luxury towers in South Bengaluru, occupied since the late 2010s."
tata-new-haven,Tata New Haven,Dasanapura,Tata Housing,Bengaluru,2017,2017,2000,2BHK,"Large value-segment 2 and 3 BHK gated township off Tumkur Road with an active rental market."
tata-aquila-heights,Tata Aquila Heights,Jalahalli West,Tata Housing,Bengaluru,2013,2013,352,2BHK,"Established 2 and 3 BHK gated community in Jalahalli West, occupied for over a decade."
birla-alokya,Birla Alokya,Whitefield,Birla Estates,Bengaluru,2023,2023,218,3BHK,"Low-rise 3 and 4 BHK villament community in Whitefield, handed over in 2023."
lt-south-city,L&T South City,Arekere,L&T Realty,Bengaluru,2012,2012,1900,2BHK,"Large mature L&T township on Bannerghatta Road, occupied since 2012 with a deep rental market."
lt-raintree-boulevard,L&T Raintree Boulevard,Hebbal,L&T Realty,Bengaluru,2023,2024,2031,3BHK,"Large premium L&T development near Hebbal with completed, occupied phases and an active rental market."
mahindra-windchimes,Mahindra Windchimes,Bannerghatta Road,Mahindra Lifespaces,Bengaluru,2018,2019,403,3BHK,"Resort-style premium 3 and 4 BHK high-rise on Bannerghatta Road, Mahindra Lifespaces' first Bengaluru community."
assetz-marq,Assetz Marq,Whitefield,Assetz Property Group,Bengaluru,2020,2020,1000,3BHK,"Completed Assetz township in Whitefield offering premium 3 and 4 BHK apartments."
assetz-63-degree-east,Assetz 63 Degree East,Sarjapur Road,Assetz Property Group,Bengaluru,2024,2024,600,3BHK,"Recently completed Assetz development off Sarjapur Road with occupied 2 and 3 BHK apartments."
assetz-lumos,Assetz Lumos,Yeshwanthpur,Assetz Property Group,Bengaluru,2021,2021,143,3BHK,"Compact, well-occupied Assetz tower in Yeshwanthpur offering spacious 3 to 5 BHK homes near the metro."
assetz-here-and-now,Assetz Here and Now,Rachenahalli,Assetz Property Group,Bengaluru,2021,2022,332,2BHK,"Compact 1 and 2 BHK community in Rachenahalli near Manyata Tech Park."
sumadhura-shikharam,Sumadhura Shikharam,Whitefield,Sumadhura Group,Bengaluru,2016,2016,255,2BHK,"Settled 2 and 3 BHK gated community in Whitefield, completed around 2016."
sumadhura-nandanam,Sumadhura Nandanam,Hoodi,Sumadhura Group,Bengaluru,2021,2021,250,2BHK,"High-rise 2 and 3 BHK gated community in Hoodi with active rental inventory."
sumadhura-eden-garden,Sumadhura Eden Garden,Doddabanahalli,Sumadhura Group,Bengaluru,2022,2022,1113,2BHK,"Large township-style community off Whitefield with 1, 2 and 3 BHK homes and deep rental supply."
bhartiya-nikoo-homes-1,Bhartiya City Nikoo Homes 1,Thanisandra,Bhartiya City,Bengaluru,2018,2018,2415,2BHK,"First occupied phase of the Bhartiya City township in Thanisandra, with compact to large apartments."
bhartiya-nikoo-homes-2,Bhartiya City Nikoo Homes 2,Thanisandra,Bhartiya City,Bengaluru,2018,2019,2116,2BHK,"Large multi-tower occupied phase of Bhartiya City in Thanisandra spanning compact 1 BHK to 4 BHK homes."
century-ethos,Century Ethos,Hebbal,Century Real Estate,Bengaluru,2020,2020,308,3BHK,"Luxury 3 and 4 BHK high-rise gated community near Hebbal with extensive amenities."
century-saras,Century Saras,Yelahanka New Town,Century Real Estate,Bengaluru,2015,2015,130,3BHK,"Mid-segment 2 and 3 BHK community in Yelahanka New Town, occupied since 2015."
sterling-ascentia,Sterling Ascentia,Bellandur,Sterling Developers,Bengaluru,2022,2022,392,3BHK,"Low-density 3 BHK gated community in Bellandur near the ORR tech corridor, completed in 2022."
sterling-terraces,Sterling Terraces,Banashankari,Sterling Developers,Bengaluru,2012,2012,216,3BHK,"Long-occupied 2, 3 and 4 BHK mid-rise community in the heart of Banashankari."
